वृद्धिरादैच्,वृद्धिःआदैच्
अजेर्व्यघञपोः,अजेःवीअघञपोः
ण्यक्षत्रियार्षञितो यूनि लुगणिञोः,ण्यक्षत्रियार्षञितःयूनिलुक्अणिञोः
पैलादिभ्यश्च,पैलादिभ्यःच
इञः प्राचाम्‌,इञःप्राचाम्
तद्राजस्य बहुषु तेनैवास्त्रियाम्‌,तद्राजस्यबहुषुतेनएवअस्त्रियाम्
यस्कादिभ्यो गोत्रे,यस्कादिभ्यःगोत्रे
यञञोश्च,यञञोःच
अत्रिभृगुकुत्सवसिष्ठगोतमाङ्गिरोभ्यश्च,अत्रिभृगुकुत्सवसिष्ठगोतमाङ्गिरोभ्यःच
तिककितवादिभ्यो द्वंद्वे,तिककितवादिभ्यःद्वन्द्वे
उपकादिभ्योऽन्यतरस्यामद्वंद्वे,उपकादिभ्यःअन्यतरस्याम्अद्वन्द्वे
आगस्त्यकौण्डिन्ययोरगस्तिकुण्डिनच्‌,आगस्त्यकौण्डिन्ययोःअगस्तिकुण्डिनच्
सुपो धातुप्रातिपदिकयोः,सुपःधातुप्रातिपदिकयोः
बहुलं छन्दसि,बहुलम्छन्दसि
यङोऽचि च,यङःअचिच
बहुलं छन्दसि,बहुलम्छन्दसि
तनादिभ्यस्तथासोः,तनादिभ्यःतथासोः
मन्त्रे घसह्वरणशवृदहाद्वृच्कृगमिजनिभ्यो लेः,मन्त्रेघसह्वरणशवृदहाद्‍वृच्कृगमिजनिभ्यःलेः
